hrm_mean,hrm_min,hrm_max,hrm_med,hrm_var,hrm_kurtosis,hrm_skew,hrm_p10,hrm_p90,accel_mean,accel_min,accel_max,accel_med,accel_var,accel_kurtosis,accel_skew,accel_p10,accel_p90,label
64.6,64.0,65.0,65.0,0.24,-1.833,-0.408,64.0,65.0,9.81,9.74,9.872,9.807,0.001,0.028,0.244,9.776,9.857,awake
64.067,63.0,65.0,64.0,0.662,-1.48,-0.123,63.0,65.0,9.806,9.745,9.892,9.809,0.001,3.861,0.691,9.775,9.821,awake
64.0,63.0,65.0,64.0,0.933,-1.929,0.0,63.0,65.0,9.813,9.346,10.356,9.809,0.019,9.535,0.739,9.775,9.861,awake
62.8,61.0,63.0,63.0,0.227,4.9,-2.372,62.0,63.0,9.887,9.813,9.939,9.885,0.001,1.853,-0.435,9.866,9.908,awake
60.033,57.0,63.0,59.0,4.099,-1.237,0.413,58.0,63.0,9.895,9.844,9.943,9.895,0.0,1.33,-0.371,9.875,9.913,awake
59.367,57.0,65.0,58.0,6.432,-0.222,1.02,57.0,64.0,9.892,9.789,9.988,9.891,0.001,2.133,-0.551,9.859,9.92,awake
65.967,65.0,67.0,66.0,0.166,2.959,-0.249,65.9,66.0,9.867,7.95,10.519,9.901,0.143,19.208,-4.142,9.801,10.046,awake
59.3,58.0,64.0,59.0,3.21,1.12,1.493,58.0,62.1,9.893,9.543,10.499,9.887,0.023,7.106,1.701,9.771,9.963,awake
62.333,59.0,66.0,62.0,6.222,-1.304,0.198,59.0,66.0,9.81,9.707,9.925,9.804,0.002,0.08,0.247,9.752,9.864,awake
64.867,62.0,66.0,66.0,2.849,-0.88,-0.996,62.0,66.0,9.806,9.704,9.905,9.804,0.002,1.494,-0.349,9.774,9.837,awake
59.567,59.0,61.0,59.0,0.512,-0.592,0.856,59.0,61.0,9.815,9.693,9.947,9.809,0.002,4.272,0.5,9.788,9.854,awake
59.333,58.0,62.0,59.0,0.622,2.702,1.373,59.0,60.0,9.806,9.773,9.841,9.81,0.0,-0.918,0.044,9.785,9.83,awake
58.533,56.0,62.0,58.0,2.649,-0.594,0.636,57.0,61.0,9.811,9.769,9.939,9.804,0.001,10.497,2.899,9.796,9.823,awake
59.167,58.0,63.0,59.0,2.272,0.855,1.409,58.0,62.0,9.808,9.744,9.865,9.809,0.0,2.755,-0.319,9.788,9.827,awake
63.333,60.0,66.0,63.0,3.956,-1.209,-0.135,60.9,66.0,9.807,9.745,9.849,9.809,0.001,0.529,-1.026,9.77,9.831,awake
61.033,59.0,64.0,61.0,2.832,-1.501,-0.01,59.0,63.0,9.814,9.741,9.897,9.812,0.001,2.62,0.396,9.791,9.843,awake
63.167,59.0,66.0,64.0,4.006,-0.819,-0.454,60.0,66.0,9.813,9.772,9.876,9.813,0.0,0.975,0.596,9.788,9.838,awake
59.933,57.0,63.0,60.0,3.662,-1.281,0.152,58.0,63.0,9.81,9.772,9.866,9.809,0.0,0.363,0.585,9.788,9.835,awake
65.333,61.0,67.0,66.0,2.222,0.984,-1.185,63.0,67.0,9.803,9.774,9.845,9.8,0.0,0.07,0.465,9.781,9.821,awake
62.1,58.0,65.0,63.0,5.89,-1.262,-0.48,58.0,65.0,9.808,9.785,9.826,9.808,0.0,-0.132,-0.246,9.797,9.82,awake
60.767,58.0,63.0,60.5,2.246,-1.033,-0.014,59.0,63.0,9.809,9.779,9.837,9.808,0.0,-0.178,0.008,9.791,9.821,awake
63.567,59.0,67.0,64.5,9.579,-1.524,-0.341,59.0,67.0,9.803,9.743,9.831,9.802,0.0,4.557,-1.313,9.79,9.821,awake
67.767,67.0,69.0,68.0,0.646,-1.316,0.446,67.0,69.0,9.812,9.723,9.886,9.815,0.001,0.007,-0.42,9.763,9.857,awake
64.433,59.0,68.0,65.0,7.512,-0.579,-0.836,59.9,67.0,9.814,9.763,9.891,9.815,0.0,3.603,0.773,9.792,9.829,awake
59.433,58.0,62.0,59.0,0.846,0.516,0.84,58.9,61.0,9.808,9.735,9.873,9.812,0.001,1.461,-0.344,9.785,9.833,awake
59.233,58.0,60.0,59.0,0.379,-0.574,-0.191,58.9,60.0,9.803,9.719,9.862,9.8,0.001,0.951,-0.409,9.775,9.841,awake
64.7,59.0,67.0,66.0,8.477,-0.524,-1.015,59.0,67.0,9.806,9.76,9.851,9.811,0.0,0.414,-0.501,9.776,9.823,awake
66.867,66.0,67.0,67.0,0.116,2.654,-2.157,66.0,67.0,9.808,9.773,9.859,9.807,0.0,3.747,0.904,9.795,9.821,awake
62.733,59.0,66.0,63.0,4.462,-0.802,-0.284,59.0,65.1,9.798,9.652,9.94,9.802,0.002,3.405,-0.188,9.756,9.827,awake
60.8,58.0,64.0,60.5,3.493,-1.127,0.261,58.9,63.1,9.901,9.736,11.524,9.808,0.12,14.184,3.879,9.789,9.889,awake
62.367,60.0,66.0,61.5,6.232,-1.586,0.351,60.0,66.0,9.802,9.514,10.077,9.808,0.009,3.374,-0.527,9.713,9.862,awake
61.5,60.0,62.0,62.0,0.583,-0.367,-1.122,60.0,62.0,9.738,8.564,9.962,9.792,0.052,20.193,-4.45,9.67,9.841,awake
63.933,62.0,65.0,64.0,0.529,1.372,-0.937,63.0,65.0,9.703,7.389,10.987,9.79,0.454,6.771,-2.381,9.587,9.95,awake
74.4,69.0,76.0,75.0,2.173,3.507,-1.583,73.0,76.0,9.86,8.934,10.346,9.81,0.089,1.47,-0.934,9.567,10.221,awake
72.867,72.0,74.0,73.0,0.449,-0.795,0.162,72.0,74.0,9.907,7.803,11.94,9.851,0.486,3.549,0.387,9.396,10.625,awake
67.833,65.0,73.0,68.5,7.339,-1.08,0.398,65.0,71.2,9.844,9.512,10.389,9.83,0.019,7.245,1.696,9.774,9.89,awake
61.233,60.0,66.0,60.0,4.846,0.009,1.353,60.0,65.1,9.809,9.047,9.933,9.833,0.023,18.709,-4.228,9.755,9.906,awake
61.367,60.0,67.0,61.0,4.432,1.66,1.741,60.0,65.1,9.792,9.657,9.864,9.793,0.002,4.779,-1.942,9.776,9.826,awake
67.367,67.0,69.0,67.0,0.299,0.331,1.154,67.0,68.0,9.784,9.524,9.909,9.795,0.005,5.36,-2.225,9.735,9.831,awake
68.333,68.0,69.0,68.0,0.222,-1.5,0.707,68.0,69.0,9.833,9.754,10.446,9.81,0.014,22.207,4.784,9.793,9.838,awake
65.7,60.0,68.0,68.0,9.343,-1.047,-0.815,60.9,68.0,9.848,9.809,9.908,9.847,0.0,1.432,0.925,9.828,9.868,awake
64.533,61.0,68.0,64.5,6.116,-1.305,0.039,61.0,68.0,9.854,9.779,9.974,9.849,0.002,1.013,0.913,9.815,9.916,awake
65.267,63.0,69.0,64.0,4.796,-0.837,0.953,63.9,69.0,9.838,9.732,10.493,9.791,0.02,12.688,3.473,9.751,9.883,awake
66.667,64.0,67.0,67.0,0.556,4.224,-2.272,65.9,67.0,9.776,9.709,9.915,9.772,0.002,2.584,1.403,9.724,9.806,awake
65.233,63.0,69.0,64.0,5.779,-1.379,0.603,63.0,69.0,9.776,9.713,9.849,9.772,0.001,0.016,0.612,9.742,9.824,awake
60.967,60.0,63.0,61.0,0.966,-1.046,0.488,60.0,62.0,9.804,9.733,10.176,9.779,0.006,12.973,3.468,9.76,9.858,awake
60.4,60.0,62.0,60.0,0.373,0.505,1.263,60.0,61.0,9.829,9.644,10.082,9.828,0.004,6.77,1.121,9.781,9.861,awake
59.767,59.0,60.0,60.0,0.179,-0.41,-1.261,59.0,60.0,9.816,9.734,9.878,9.821,0.001,0.019,-0.509,9.777,9.852,awake
60.7,58.0,62.0,61.0,2.21,-0.814,-0.817,58.0,62.0,10.182,7.724,15.85,9.84,2.856,3.713,1.886,8.664,12.528,awake
71.633,62.0,74.0,74.0,17.166,1.079,-1.657,62.0,74.0,9.971,9.795,11.221,9.844,0.098,6.962,2.702,9.81,10.337,awake
68.133,68.0,71.0,68.0,0.316,19.798,4.54,68.0,68.0,9.831,9.634,9.933,9.839,0.003,5.835,-1.721,9.785,9.872,awake
67.967,67.0,68.0,68.0,0.032,25.034,-5.199,68.0,68.0,9.789,9.258,10.07,9.831,0.029,3.438,-1.859,9.685,9.874,awake
66.4,66.0,67.0,66.0,0.24,-1.833,0.408,66.0,67.0,9.824,8.838,10.559,9.811,0.079,4.575,-0.467,9.6,10.086,awake
65.367,65.0,66.0,65.0,0.232,-1.694,0.553,65.0,66.0,9.817,9.652,9.908,9.819,0.002,4.787,-1.472,9.779,9.855,awake
66.933,66.0,68.0,67.0,0.262,0.722,-0.104,66.0,67.1,9.827,9.761,10.004,9.822,0.002,8.228,2.472,9.796,9.853,awake
61.9,61.0,63.0,62.0,0.623,-1.376,0.179,61.0,63.0,9.793,9.742,9.848,9.791,0.001,-0.313,0.083,9.769,9.823,awake
61.9,61.0,63.0,62.0,0.557,-1.192,0.164,61.0,63.0,9.79,9.749,9.827,9.793,0.0,-0.127,-0.41,9.768,9.807,awake
61.833,61.0,62.0,62.0,0.139,1.2,-1.789,61.0,62.0,9.803,9.419,10.356,9.784,0.021,7.111,1.747,9.753,9.826,awake
62.467,62.0,63.0,62.0,0.249,-1.982,0.134,62.0,63.0,9.794,9.707,10.006,9.789,0.005,2.064,1.446,9.723,9.883,awake
62.133,62.0,63.0,62.0,0.116,2.654,2.157,62.0,63.0,9.799,9.706,9.906,9.791,0.002,0.431,0.641,9.766,9.879,awake
62.833,62.0,63.0,63.0,0.139,1.2,-1.789,62.0,63.0,9.792,9.72,9.902,9.792,0.001,4.269,0.995,9.768,9.814,awake
63.767,63.0,64.0,64.0,0.179,-0.41,-1.261,63.0,64.0,9.792,9.684,9.869,9.79,0.001,2.981,-0.485,9.766,9.814,awake
63.533,62.0,64.0,64.0,0.449,-0.001,-1.119,62.9,64.0,9.803,9.648,9.897,9.798,0.002,1.681,-0.48,9.755,9.863,awake
62.467,62.0,63.0,62.0,0.249,-1.982,0.134,62.0,63.0,9.748,8.367,9.875,9.793,0.067,24.249,-5.081,9.753,9.84,awake
61.733,61.0,62.0,62.0,0.196,-0.886,-1.055,61.0,62.0,9.905,9.153,11.56,9.892,0.125,13.7,3.048,9.724,9.97,awake
61.0,61.0,61.0,61.0,0.0,-3.0,0.0,61.0,61.0,9.94,9.127,11.831,9.813,0.256,5.557,2.351,9.643,10.263,awake
61.733,61.0,62.0,62.0,0.196,-0.886,-1.055,61.0,62.0,9.805,9.71,10.615,9.768,0.024,22.539,4.842,9.759,9.807,awake
